nome;matricula;email;cargo;equipe;unidade base;turno;ciclo;entrada;jornada;home office;trabalho externo;sexta reduzida;admissao
Adriana Bastos;2101;adriana.bastos@saolucas.com;Técnico I;TEC;MOR;D;;09:00;8;sim;sim;sim;04/04/2024
Alexandre Pinho;2102;alexandre.pinho@saolucas.com;Especialista;ANA;PAU;D;;08:00;8;sim;sim;sim;16/07/2021
Aline Camargo;2103;aline.camargo@saolucas.com;Técnico II;PLA;VLO;D;ímpar;07:00;12;nao;sim;nao;03/09/2022
Amanda Rocha;2104;amanda.rocha@saolucas.com;Técnico III;INF;MOR;D;;07:00;7,5;sim;nao;sim;20/06/2019
André Vasconcelos;2105;andre.vasconcelos@saolucas.com;Técnico I;TEC;PAU;D;;08:00;6;sim;nao;sim;24/11/2023
Beatriz Continentino;2106;beatriz.continentino@saolucas.com;Analista Sr;ANA;VLO;D;;07:00;6;sim;nao;sim;20/07/2022
Bruno Sampaio;2107;bruno.sampaio@saolucas.com;Técnico II;PLA;MOR;D;ímpar;07:00;12;nao;nao;nao;23/11/2021
Camila Terra;2108;camila.terra@saolucas.com;Técnico I;INF;PAU;D;;09:00;8;sim;sim;sim;16/08/2024
Carlos Bandeira;2109;carlos.bandeira@saolucas.com;Técnico II;TEC;VLO;D;;09:00;8;sim;sim;sim;21/02/2022
Caroline Vieira;2110;caroline.vieira@saolucas.com;Analista Jr;ANA;MOR;D;;08:00;8;sim;nao;sim;22/08/2025
César Malta;2111;cesar.malta@saolucas.com;Técnico III;PLA;PAU;D;ímpar;07:00;12;nao;sim;nao;23/02/2021
Cristina Aguiar;2112;cristina.aguiar@saolucas.com;Técnico I;INF;VLO;D;;09:00;7,5;sim;nao;sim;25/05/2022
Daniel Ferrero;2113;daniel.ferrero@saolucas.com;Técnico II;TEC;MOR;D;;08:00;8;sim;nao;nao;08/09/2021
Débora Quintela;2114;debora.quintela@saolucas.com;Analista Jr;ANA;PAU;D;;07:00;7,5;sim;nao;nao;19/05/2023
Diego Assunção;2115;diego.assuncao@saolucas.com;Técnico II;PLA;VLO;D;ímpar;09:00;12;nao;sim;nao;15/01/2024
Eduarda Ramalho;2116;eduarda.ramalho@saolucas.com;Técnico III;INF;MOR;D;;07:00;6;sim;sim;sim;09/08/2021
Elias Toledo;2117;elias.toledo@saolucas.com;Técnico II;TEC;PAU;D;;09:00;6;nao;nao;nao;02/10/2021
Fabiana Cordeiro;2118;fabiana.cordeiro@saolucas.com;Especialista;ANA;VLO;D;;08:00;7,5;nao;sim;sim;02/11/2024
Felipe Andrade;2119;felipe.andrade@saolucas.com;Técnico I;PLA;MOR;D;ímpar;08:00;12;nao;nao;nao;15/08/2021
Fernanda Bulhões;2120;fernanda.bulhoes@saolucas.com;Técnico III;INF;PAU;D;;08:00;6;sim;nao;nao;22/06/2024
Gabriel Peçanha;2121;gabriel.pecanha@saolucas.com;Técnico III;TEC;VLO;D;;08:00;7,5;sim;nao;sim;22/10/2025
Giovana Trindade;2122;giovana.trindade@saolucas.com;Analista Jr;ANA;MOR;D;;08:00;7,5;sim;nao;sim;23/07/2019
Guilherme Sá;2123;guilherme.sa@saolucas.com;Técnico III;PLA;PAU;D;ímpar;08:00;12;nao;nao;nao;07/04/2019
Helena Portela;2124;helena.portela@saolucas.com;Técnico II;INF;VLO;D;;09:00;6;sim;nao;sim;18/03/2021
Henrique Vilela;2125;henrique.vilela@saolucas.com;Técnico I;TEC;MOR;D;;08:00;8;sim;nao;sim;01/01/2023
Isabela Fontes;2126;isabela.fontes@saolucas.com;Especialista;ANA;PAU;D;;09:00;7,5;sim;nao;sim;24/01/2023
Ivan Drummond;2127;ivan.drummond@saolucas.com;Técnico I;PLA;VLO;D;ímpar;08:00;12;nao;sim;nao;12/09/2022
Jéssica Marinho;2128;jessica.marinho@saolucas.com;Técnico I;INF;MOR;D;;07:00;8;sim;nao;sim;11/11/2019
João Bittencourt;2129;joao.bittencourt@saolucas.com;Técnico I;TEC;PAU;D;;08:00;7,5;nao;sim;nao;08/06/2025
